TIMESTAMP_START,TIMESTAMP_END,Site,Net Radiation,Latent Heat,Sensible Heat,Soil Heat Flux,Air Temp,Soil Temp,CO2 Flux,Fire
19990423,19990429,WCr,204.2415393,19.6422,107.165,11.6308,11.341,8.717,2.32402,1
20130723,20130729,Me2,174.3867743,57.2614,110.476,5.66079,21.415,22.045,2.31498,1
20081223,20081231,Ha1,-9999,14.2344,-12.7924,-9999,-1.4,1.592,2.31032,1
20060730,20060805,Syv,100.2849479,59.4479,2.89044,4.48473,20.611,19.584,2.3095,1
20011203,20011209,Ha1,10.14875731,7.66938,0.469955,-9999,5.743,4.9,2.30524,1
20140730,20140805,Me2,151.0300729,64.4022,74.1331,4.44192,23.401,21.418,2.30461,1
19980326,19980401,Ha1,62.57065217,16.8401,41.7695,-9999,13.468,5.196,2.30373,1
20020326,20020401,Ha1,-9999,29.9414,34.9133,-9999,3.385,-0.062,2.29942,1
20020219,20020225,Ha1,-9999,25.1926,21.4173,-9999,2.537,0.273,2.29455,1
20121202,20121208,Me2,5.202263889,32.1547,-20.6983,-3.34644,1.15,1.916,2.29365,1
20111008,20111014,WCr,-9999,4.50395,13.3069,7.55332,15.232,14.033,2.29095,1
19970219,19970225,Ha1,62,17.5097,43.5517,-9999,0.385,1.017,2.2908,1
19991210,19991216,Ha1,3.143308081,10.0104,2.99978,-9999,1.02,6.042,2.29061,1
20121014,20121020,Syv,41.85394444,22.5703,-9.02544,-9999,6.692,7.559,2.27912,1
20130625,20130701,Me2,171.0154063,89.631,45.4945,6.55486,18.697,16.555,2.27781,1
20051029,20051104,WCr,18.35463889,3.95897,0.839967,4.71786,7.133,8.766,2.27188,1
20090101,20090107,Ha1,-9999,8.6877,1.22632,-9999,-6.437,0.689,2.26959,1
20011112,20011118,Ha1,21.59722222,7.67585,14.5762,-9999,4.67,3.589,2.26701,1
20030409,20030415,WCr,147.9797251,12.9723,65.8189,14.2884,9.822,1.293,2.26451,1
20141119,20141125,Me2,-9999,11.0253,-9.79404,-1.88415,2.127,1.127,2.26318,1
20000527,20000602,Blo,213.26782,75.6699,117.386,4.00471,15.284,15.259,2.26269,1
20120318,20120324,Ha1,163.2638889,22.9661,67.847,-9999,14.364,10.92,2.25809,1
19961216,19961222,Ha1,10.37121212,5.6438,2.68252,-9999,-0.066,3.106,2.2568,1
20120902,20120908,Syv,-9999,65.868,-3.17141,-9999,19.518,16.687,2.25497,1
20061022,20061028,Ha1,41.175,13.9353,12.381,-9999,4.883,6.878,2.2532,1
20001014,20001020,WCr,59.88910417,13.3091,18.9448,9.00644,10.87,10.38,2.24696,1
20020319,20020325,Ha1,-9999,33.9949,68.4411,-9999,3.535,-0.064,2.24182,1
20051022,20051028,WCr,40.04732986,6.81064,16.415,0.317661,3.941,8.291,2.24035,1
20051105,20051111,Ha1,-9999,11.1499,11.174,-9999,6.763,7.571,2.23935,1
20140806,20140812,Me2,161.5260729,55.609,89.0524,4.08884,20.05,20.537,2.23779,1
19951105,19951111,Ha1,15.15277778,14.858,7.22443,-9999,2.33,7.984,2.23707,1
20011029,20011104,Ha1,40.13442029,6.90586,20.4341,-9999,7.849,7.16,2.23629,1
19981203,19981209,Ha1,11.1,5.7838,15.5948,-9999,7.498,7.794,2.23339,1
19971112,19971118,Ha1,2.440025253,8.80106,6.85259,-9999,-2.456,4.176,2.21749,1
20051112,20051118,Ha1,-9999,9.12038,9.77331,-9999,5.26,5.933,2.2168,1
20020409,20020415,Ha1,-9999,42.2842,85.9184,-9999,3.953,-0.064,2.21413,1
20130521,20130527,WCr,-9999,66.6352,66.28,14.5132,11.021,10.944,2.21325,1
20060416,20060422,WCr,108.8498125,16.6145,78.7534,13.5344,10.099,8.816,2.21219,1
20000722,20000728,Blo,172.1788854,106.153,84.1647,3.44074,20.369,18.715,2.2079,1
20021119,20021125,Ha1,-9999,6.36598,-7.98255,-9999,3.17,0.687,2.20334,1
20100101,20100107,Ha1,61.33786232,42.6304,4.66182,-9999,-6.101,15.89,2.19758,1
19930219,19930225,Ha1,48.83630952,8.21123,39.4703,-9999,-6.109,-0.349,2.19075,1
20001028,20001103,WCr,31.81460417,10.6288,24.0782,4.64794,7.646,8.953,2.19036,1
20001111,20001117,Ha1,13.60175121,14.0493,5.1965,-9999,4.423,7.219,2.18823,1
20040506,20040512,WCr,127.4506771,16.1236,69.9379,21.329,12.191,9.579,2.17549,1
19941119,19941125,Ha1,0.819444444,19.4226,6.46868,-9999,2.145,6.834,2.17478,1
20011029,20011104,WCr,21.43903869,8.99659,4.58033,4.86002,9.015,6.363,2.16676,1
20051022,20051028,Ha1,-9999,9.59662,-4.02282,-9999,3.211,5.879,2.16233,1
20001007,20001013,WCr,56.92792014,16.8987,21.728,5.46069,8.616,7.782,2.15885,1
19961021,19961027,Ha1,-9999,15.1037,26.2602,-9999,10.029,10.502,2.15705,1
19921021,19921027,Ha1,7.543125584,15.8382,21.3595,-9999,6.694,8.383,2.15696,1
19940430,19940506,Ha1,115.2379227,43.303,90.4118,-9999,9.757,9.115,2.15397,1
20011119,20011125,Ha1,22.60416667,4.88383,7.33981,-9999,5.19,4.661,2.15275,1
19981029,19981104,Ha1,-9999,10.8822,52.7529,-9999,3.342,8.437,2.15092,1
20031008,20031014,Syv,47.47416667,18.3039,9.37272,1.69183,12.526,11.039,2.15023,1
20020430,20020506,Ha1,-9999,41.8342,86.1773,-9999,7.106,-0.064,2.14811,1
20110326,20110401,Ha1,179.2291667,24.8224,93.8484,-9999,-0.409,-0.702,2.14626,1
20030430,20030506,WCr,132.2391632,12.9492,71.8507,15.6522,8.684,6.988,2.14624,1
19921118,19921124,Ha1,-9999,-3.33099,-12.831,-9999,8.337,7.236,2.14618,1
20000401,20000407,Ha1,35.74305556,25.4018,57.305,-9999,7.474,7.21,2.13803,1
19961223,19961231,Ha1,14.04891304,8.61957,0.824069,-9999,-0.948,2.852,2.12944,1
20050514,20050520,WCr,92.91170486,18.7282,41.394,12.5409,9.521,9.819,2.12843,1
19960415,19960421,Ha1,112.5555556,27.0751,74.2072,-9999,12.454,5.412,2.12485,1
20130813,20130819,Me2,154.7626493,31.1178,117.279,4.27441,19.809,20.251,2.12335,1
20000729,20000804,Blo,181.7412021,104.567,63.5685,6.855,23.617,20.685,2.12019,1
20010507,20010513,WCr,135.3893646,42.9636,67.1787,15.717,12.354,12.39,2.1197,1
20121014,20121020,Ha1,34.57638889,21,12.4136,-9999,11.687,11.066,2.11803,1
20020205,20020211,Ha1,-9999,5.50208,33.3287,-9999,-1.857,0.272,2.11709,1
19991008,19991014,WCr,-9999,16.2936,18.0549,-2.84642,10.868,8.915,2.11687,1
20020507,20020513,Ha1,-9999,35.1691,81.9087,-9999,10.435,-0.062,2.11618,1
20070312,20070318,Ha1,-9999,5.74009,21.3027,-9999,1.713,-0.183,2.11556,1
20121021,20121027,Ha1,19.63573232,13.3301,15.3103,-9999,10.705,11.272,2.11371,1
19981126,19981202,Ha1,7.063333333,7.7444,24.8274,-9999,4.969,7.02,2.10524,1
19991126,19991202,Ha1,-8.946557971,13.8096,-0.773813,-9999,1.756,7.855,2.09994,1
19921111,19921117,Ha1,-9999,-1.54898,-16.2884,-9999,5.232,5.406,2.09948,1
19981105,19981111,Ha1,28.55525362,11.2041,44.5233,-9999,2.097,6.779,2.08581,1
19951015,19951021,Ha1,30.33691077,26.6251,15.3853,-9999,10.528,12.615,2.084,1
20060409,20060415,WCr,106.666684,13.5383,73.0074,17.4827,12.671,7.777,2.08376,1
20130101,20130107,Me2,17.43107639,18.0769,4.18795,-2.57287,-5.213,0.05,2.0764,1
19931119,19931125,Ha1,-9999,90.0094,13.9804,-9999,17.603,5.953,2.07453,1
20030514,20030520,WCr,-9999,23.5139,58.0523,17.4669,13.343,11.358,2.07188,1
19931029,19931104,Ha1,8.021256039,36.9357,7.47438,-9999,17.177,7.03,2.06842,1
19921125,19921201,Ha1,10.84480676,17.3886,0.787284,-9999,5.02,6.267,2.0648,1
20120506,20120512,Ha1,83.05555556,47.4684,63.184,-9999,12.29,12.61,2.06404,1
20110423,20110429,Ha1,114.8680556,30.4821,39.8178,-9999,13.367,6.943,2.06195,1
20111001,20111007,WCr,81.26694503,24.1147,31.0534,7.57154,15.419,12.451,2.06106,1
20041007,20041013,WCr,41.128,14.532,21.0127,8.62758,11.774,11.482,2.05941,1
19981112,19981118,Ha1,28.07619048,14.6158,54.5566,-9999,2.968,7.115,2.05877,1
19931126,19931202,Ha1,-4.123611111,87.9847,0.693536,-9999,17.347,5.056,2.0551,1
20021126,20021202,Blo,20.70120597,29.8506,-0.0549237,-5.82871,7.955,5.387,2.05358,1
19980416,19980422,Ha1,75.63888889,30.6726,52.4223,-9999,9.797,8.059,2.049,1
20020416,20020422,Ha1,-9999,42.7261,85.0227,-9999,3.994,-0.062,2.04806,1
20010903,20010909,Syv,102.9863728,58.5984,-4.74724,1.01429,16.395,16.453,2.04234,1
19961118,19961124,Ha1,14.46527778,8.56279,12.2251,-9999,0.757,5.593,2.03974,1
20130702,20130708,Me2,212.5559514,94.7789,86.8912,3.93645,19.105,19.109,2.03958,1
19981022,19981028,Ha1,47.63254831,13.974,59.0365,-9999,8.32,10.006,2.02034,1
20021126,20021202,Ha1,-9999,9.34955,9.39384,-9999,-2.933,0.845,2.0165,1
20040226,20040303,Ha1,22.32291667,7.77345,38.6519,-9999,2.632,-0.261,2.01501,1
19960506,19960512,Ha1,103.7222222,27.0796,50.3105,-9999,9.555,9.3,2.01431,1
20040415,20040421,WCr,88.37360069,10.0788,39.713,17.3567,8.451,6.463,2.00943,1
20030423,20030429,Ha1,85.95,29.6103,70.9945,-9999,9.219,7.828,2.00563,1
20061029,20061104,Ha1,5.881944444,22.3088,19.3982,-9999,5.852,6.323,2.00541,1
20141001,20141007,WCr,48.65188601,5.69831,17.1452,6.04912,6.332,10.055,2.00388,1
20050402,20050408,WCr,114.3871285,13.6273,56.0768,12.8822,8.157,5.252,2.00317,1
19940423,19940429,Ha1,109.3958333,31.1177,79.1601,-9999,9.466,8.124,1.99589,1
20000930,20001006,WCr,41.71349306,20.0535,19.0402,6.25947,9.312,11.681,1.99299,1
20090430,20090506,Ha1,-9999,27.4222,51.82,-9999,11.315,10.083,1.98836,1
19990917,19990923,Ha1,83.84722222,52.4919,11.424,-9999,12.934,14.465,1.98623,1
20011022,20011028,Ha1,27.33695652,12.371,20.9276,-9999,10.042,9.723,1.98166,1
20131015,20131021,WCr,41.6478519,15.8878,4.57867,-5.06066,3.363,8.417,1.98109,1
20060423,20060429,WCr,135.6452153,17.4385,79.4671,11.8344,9.524,8.569,1.97828,1
20110122,20110128,Ha1,67.59722222,7.50475,14.492,-9999,-9.912,-0.345,1.97824,1
20000909,20000915,Blo,124.0357847,70.2198,53.0551,2.71417,18.345,15.16,1.97433,1
20041007,20041013,Syv,34.49446528,20.0042,15.6197,-2.28169,10.651,9.976,1.97261,1
20091217,20091223,Ha1,-9999,42.6304,9.85681,-9999,-5.117,15.89,1.97116,1
19960226,19960303,Ha1,58.43833333,17.6402,42.2424,-9999,-2.435,1.934,1.97105,1
20070312,20070318,Syv,46.12890972,12.387,30.8502,-1.72016,-1.817,-0.077,1.96853,1
20041021,20041027,Syv,16.63810764,8.29696,1.33544,-1.90542,6.054,7.571,1.96835,1
